,domain,layer,dim,problem,repeat,plan_length,plan_found,time
187,blocksworld,1,1,2_03,1,612.0,True,121.1970694065094
188,blocksworld,1,1,2_03,2,602.0,True,125.52014827728271
189,blocksworld,1,1,2_04,0,662.0,True,219.57830429077148
190,blocksworld,1,1,2_04,1,662.0,True,201.08879780769348
191,blocksworld,1,1,2_04,2,658.0,True,221.64552783966064
192,blocksworld,1,1,2_05,0,702.0,True,213.28711771965027
193,blocksworld,1,1,2_05,1,704.0,True,203.22081899642944
194,blocksworld,1,1,2_05,2,702.0,True,206.818941116333
195,blocksworld,1,1,2_06,0,726.0,True,240.87105536460876
196,blocksworld,1,1,2_06,1,734.0,True,235.1520802974701
197,blocksworld,1,1,2_06,2,726.0,True,258.1161251068115
198,blocksworld,1,1,2_07,0,790.0,True,306.3803391456604
199,blocksworld,1,1,2_07,1,792.0,True,300.2083625793457
200,blocksworld,1,1,2_07,2,788.0,True,301.7637014389038
201,blocksworld,1,1,2_08,0,800.0,True,310.82764506340027
202,blocksworld,1,1,2_08,1,792.0,True,298.74910974502563
203,blocksworld,1,1,2_08,2,792.0,True,333.8599247932434
204,blocksworld,1,1,2_09,0,826.0,True,318.1748094558716
205,blocksworld,1,1,2_09,1,832.0,True,325.95336627960205
206,blocksworld,1,1,2_09,2,822.0,True,338.9165303707123
207,blocksworld,1,1,2_10,0,888.0,True,394.0709431171417
208,blocksworld,1,1,2_10,1,902.0,True,403.9367666244507
209,blocksworld,1,1,2_10,2,890.0,True,421.0283896923065
210,blocksworld,1,1,2_11,0,920.0,True,453.0355508327484
211,blocksworld,1,1,2_11,1,926.0,True,438.71039867401123
212,blocksworld,1,1,2_11,2,912.0,True,430.8128094673157
213,blocksworld,1,1,2_12,0,948.0,True,519.0213959217072
214,blocksworld,1,1,2_12,1,950.0,True,480.44355821609497
215,blocksworld,1,1,2_12,2,954.0,True,522.6016974449158
216,blocksworld,1,1,2_13,0,964.0,True,501.9125099182129
217,blocksworld,1,1,2_13,1,968.0,True,491.5703978538513
218,blocksworld,1,1,2_13,2,958.0,True,504.7472813129425
219,blocksworld,1,1,2_14,0,1024.0,True,580.5558259487152
220,blocksworld,1,1,2_14,1,1040.0,True,578.2235844135284
221,blocksworld,1,1,2_14,2,1024.0,True,628.7320001125336
222,blocksworld,1,1,2_15,0,1068.0,True,618.8318719863892
223,blocksworld,1,1,2_15,1,1072.0,True,608.7308466434479
224,blocksworld,1,1,2_15,2,1076.0,True,672.91796708107
225,blocksworld,1,1,2_16,0,1112.0,True,882.9430453777313
226,blocksworld,1,1,2_16,1,1122.0,True,851.2486546039581
227,blocksworld,1,1,2_16,2,1110.0,True,884.127224445343
228,blocksworld,1,1,2_17,0,1108.0,True,748.6048798561096
229,blocksworld,1,1,2_17,1,1116.0,True,765.4028427600861
230,blocksworld,1,1,2_17,2,1110.0,True,796.9383146762848
231,blocksworld,1,1,2_18,0,1202.0,True,1037.3238294124603
232,blocksworld,1,1,2_18,1,1206.0,True,1134.4605162143707
233,blocksworld,1,1,2_18,2,1198.0,True,1117.6658325195312
234,blocksworld,1,1,2_19,0,1202.0,True,928.0007886886597
235,blocksworld,1,1,2_19,1,1228.0,True,941.8075387477875
236,blocksworld,1,1,2_19,2,1202.0,True,1021.7743117809296
237,blocksworld,1,1,2_20,0,1276.0,True,1153.2226600646973
238,blocksworld,1,1,2_20,1,1292.0,True,1079.6056306362152
239,blocksworld,1,1,2_20,2,1286.0,True,1228.9917232990265
240,blocksworld,1,1,2_21,0,1266.0,True,1146.3908424377441
241,blocksworld,1,1,2_21,1,1262.0,True,1102.6989872455597
242,blocksworld,1,1,2_21,2,1262.0,True,1149.6724798679352
243,blocksworld,1,1,2_22,0,1376.0,True,1659.7790298461914
244,blocksworld,1,1,2_22,1,1382.0,True,1604.5126605033875
245,blocksworld,1,1,2_22,2,1368.0,True,1728.8914461135864
246,blocksworld,1,1,2_23,0,1396.0,True,1542.8790242671967
247,blocksworld,1,1,2_23,1,1394.0,True,1569.7450478076935
248,blocksworld,1,1,2_23,2,1394.0,True,1545.075917482376
249,blocksworld,1,1,2_24,0,1404.0,True,1417.1862614154816
250,blocksworld,1,1,2_24,1,1402.0,True,1464.529865026474
251,blocksworld,1,1,2_24,2,1400.0,True,1565.2434258460999
252,blocksworld,1,1,2_25,0,1434.0,True,1626.2963154315948
253,blocksworld,1,1,2_25,1,1440.0,True,1581.1018271446228
254,blocksworld,1,1,2_25,2,1402.0,True,1664.1612856388092
255,blocksworld,1,1,2_26,0,1480.0,True,1733.8297293186188
256,blocksworld,1,1,2_26,1,1502.0,True,1817.1274178028107
257,blocksworld,1,1,2_26,2,1490.0,True,1842.7879965305328
258,blocksworld,1,1,2_27,0,1540.0,True,2157.986896276474
259,blocksworld,1,1,2_27,1,1552.0,True,2204.1727027893066
260,blocksworld,1,1,2_27,2,1546.0,True,2119.128428697586
261,blocksworld,1,1,2_28,0,1580.0,True,2010.085021018982
262,blocksworld,1,1,2_28,1,1574.0,True,2026.1745743751526
263,blocksworld,1,1,2_28,2,1570.0,True,1977.4035773277283
264,blocksworld,1,1,2_29,0,1562.0,True,2048.860413312912
265,blocksworld,1,1,2_29,1,1578.0,True,2088.1356089115143
266,blocksworld,1,1,2_29,2,1578.0,True,2063.399961233139
267,blocksworld,1,1,2_30,0,1700.0,True,2579.588639497757
268,blocksworld,1,1,2_30,1,1704.0,True,2322.606775522232
269,blocksworld,1,1,2_30,2,1686.0,True,3094.846554994583
270,blocksworld,1,2,0_01,1,10.0,True,0.3408389091491699
271,blocksworld,1,2,0_01,2,10.0,True,0.4851369857788086
272,blocksworld,1,2,0_02,1,8.0,True,0.27077388763427734
273,blocksworld,1,2,0_02,2,8.0,True,0.26171207427978516
274,blocksworld,1,2,0_03,1,20.0,True,0.5016951560974121
275,blocksworld,1,2,0_03,2,20.0,True,0.4644653797149658
276,blocksworld,1,2,0_04,1,24.0,True,0.5306587219238281
277,blocksworld,1,2,0_04,2,24.0,True,0.5958213806152344
278,blocksworld,1,2,0_05,1,24.0,True,0.5904650688171387
279,blocksworld,1,2,0_05,2,24.0,True,0.6635861396789551
280,blocksworld,1,2,0_06,1,26.0,True,0.7206237316131592
281,blocksworld,1,2,0_06,2,30.0,True,0.8237044811248779
282,blocksworld,1,2,0_07,1,32.0,True,0.7710018157958984
283,blocksworld,1,2,0_07,2,32.0,True,0.7071113586425781
284,blocksworld,1,2,0_08,1,32.0,True,0.8820116519927979
285,blocksworld,1,2,0_08,2,32.0,True,0.6708238124847412
286,blocksworld,1,2,0_09,1,36.0,True,0.8652355670928955
287,blocksworld,1,2,0_09,2,36.0,True,1.1786141395568848
288,blocksworld,1,2,0_10,1,38.0,True,0.8985428810119629
289,blocksworld,1,2,0_10,2,38.0,True,0.9919021129608154
290,blocksworld,1,2,0_11,1,48.0,True,1.0671532154083252
291,blocksworld,1,2,0_11,2,48.0,True,1.0823400020599365
292,blocksworld,1,2,0_12,1,44.0,True,1.1337523460388184
293,blocksworld,1,2,0_12,2,44.0,True,1.0136444568634033
294,blocksworld,1,2,0_13,1,46.0,True,1.3366191387176514
295,blocksworld,1,2,0_13,2,46.0,True,1.3167500495910645
296,blocksworld,1,2,0_14,1,46.0,True,1.1649787425994873
297,blocksworld,1,2,0_14,2,48.0,True,1.430589199066162
298,blocksworld,1,2,0_15,1,52.0,True,1.6177372932434082
299,blocksworld,1,2,0_15,2,54.0,True,1.2532758712768555
300,blocksworld,1,2,0_16,1,60.0,True,1.6456739902496338
301,blocksworld,1,2,0_16,2,58.0,True,1.5187532901763916
302,blocksworld,1,2,0_17,1,60.0,True,1.5425050258636475
303,blocksworld,1,2,0_17,2,60.0,True,1.719189167022705
304,blocksworld,1,2,0_18,1,54.0,True,1.4046058654785156
305,blocksworld,1,2,0_18,2,54.0,True,1.6698126792907715
306,blocksworld,1,2,0_19,1,60.0,True,1.4972310066223145
307,blocksworld,1,2,0_19,2,60.0,True,1.5540697574615479
308,blocksworld,1,2,0_20,1,56.0,True,1.6132323741912842
309,blocksworld,1,2,0_20,2,56.0,True,1.4051826000213623
310,blocksworld,1,2,0_21,1,62.0,True,1.6040854454040527
311,blocksworld,1,2,0_21,2,62.0,True,1.575962781906128
312,blocksworld,1,2,0_22,1,78.0,True,2.169829845428467
313,blocksworld,1,2,0_22,2,78.0,True,2.468657970428467
314,blocksworld,1,2,0_23,1,66.0,True,1.7207233905792236
315,blocksworld,1,2,0_23,2,66.0,True,1.839946985244751
316,blocksworld,1,2,0_24,1,84.0,True,2.4393749237060547
317,blocksworld,1,2,0_24,2,84.0,True,2.6962592601776123
318,blocksworld,1,2,0_25,1,90.0,True,2.6956136226654053
319,blocksworld,1,2,0_25,2,90.0,True,2.81145977973938
320,blocksworld,1,2,0_26,1,80.0,True,2.168407917022705
321,blocksworld,1,2,0_26,2,80.0,True,2.3226969242095947
322,blocksworld,1,2,0_27,1,72.0,True,2.2275936603546143
323,blocksworld,1,2,0_27,2,74.0,True,2.0788509845733643
324,blocksworld,1,2,0_28,1,90.0,True,3.0856451988220215
325,blocksworld,1,2,0_28,2,90.0,True,2.607612371444702
326,blocksworld,1,2,0_29,1,82.0,True,2.622814893722534
327,blocksworld,1,2,0_29,2,82.0,True,2.4093708992004395
328,blocksworld,1,2,0_30,1,98.0,True,3.1146857738494873
329,blocksworld,1,2,0_30,2,100.0,True,3.350860118865967
330,blocksworld,1,2,1_01,1,118.0,True,4.184938907623291
331,blocksworld,1,2,1_01,2,118.0,True,3.834613561630249
332,blocksworld,1,2,1_02,1,124.0,True,4.3913538455963135
333,blocksworld,1,2,1_02,2,122.0,True,4.691343069076538
334,blocksworld,1,2,1_03,1,134.0,True,5.085872411727905
335,blocksworld,1,2,1_03,2,128.0,True,4.611804008483887
336,blocksworld,1,2,1_04,1,162.0,True,6.74112606048584
337,blocksworld,1,2,1_04,2,158.0,True,6.852074384689331
338,blocksworld,1,2,1_05,1,160.0,True,6.636836528778076
339,blocksworld,1,2,1_05,2,166.0,True,7.014507055282593
340,blocksworld,1,2,1_06,1,166.0,True,7.425879001617432
341,blocksworld,1,2,1_06,2,164.0,True,7.321342945098877
342,blocksworld,1,2,1_07,1,186.0,True,8.483892679214478
343,blocksworld,1,2,1_07,2,186.0,True,9.236363172531128
344,blocksworld,1,2,1_08,1,198.0,True,11.98152494430542
345,blocksworld,1,2,1_08,2,204.0,True,11.797132015228271
346,blocksworld,1,2,1_09,1,210.0,True,10.700405836105347
347,blocksworld,1,2,1_09,2,206.0,True,11.003917932510376
348,blocksworld,1,2,1_10,1,222.0,True,11.77180790901184
349,blocksworld,1,2,1_10,2,220.0,True,12.742379426956177
350,blocksworld,1,2,1_11,1,232.0,True,15.538558959960938
351,blocksworld,1,2,1_11,2,240.0,True,15.156509637832642
352,blocksworld,1,2,1_12,1,264.0,True,18.317110538482666
353,blocksworld,1,2,1_12,2,264.0,True,17.82380962371826
354,blocksworld,1,2,1_13,1,278.0,True,20.736504077911377
355,blocksworld,1,2,1_13,2,280.0,True,20.05129837989807
356,blocksworld,1,2,1_14,1,276.0,True,20.243114709854126
357,blocksworld,1,2,1_14,2,278.0,True,19.587671518325806
358,blocksworld,1,2,1_15,1,284.0,True,22.961789846420288
359,blocksworld,1,2,1_15,2,290.0,True,21.525227546691895
360,blocksworld,1,2,1_16,1,298.0,True,26.24849224090576
361,blocksworld,1,2,1_16,2,304.0,True,25.407176733016968
362,blocksworld,1,2,1_17,1,306.0,True,24.71168851852417
363,blocksworld,1,2,1_17,2,310.0,True,26.652485609054565
364,blocksworld,1,2,1_18,1,344.0,True,31.994826793670654
365,blocksworld,1,2,1_18,2,344.0,True,29.338717699050903
366,blocksworld,1,2,1_19,1,346.0,True,35.557543992996216
367,blocksworld,1,2,1_19,2,348.0,True,34.929682970047
368,blocksworld,1,2,1_20,1,356.0,True,38.17360830307007
369,blocksworld,1,2,1_20,2,352.0,True,35.804872035980225
370,blocksworld,1,2,1_21,1,370.0,True,39.44741249084473
371,blocksworld,1,2,1_21,2,370.0,True,38.56563711166382
372,blocksworld,1,2,1_22,1,378.0,True,42.90090584754944
373,blocksworld,1,2,1_22,2,380.0,True,40.023956537246704
374,blocksworld,1,2,1_23,1,416.0,True,54.243186712265015
375,blocksworld,1,2,1_23,2,416.0,True,57.43460965156555
376,blocksworld,1,2,1_24,1,390.0,True,47.013790130615234
377,blocksworld,1,2,1_24,2,392.0,True,49.80494046211243
378,blocksworld,1,2,1_25,1,408.0,True,53.94958782196045
379,blocksworld,1,2,1_25,2,406.0,True,57.16184973716736
380,blocksworld,1,2,1_26,1,440.0,True,65.4946665763855
381,blocksworld,1,2,1_26,2,444.0,True,62.21806836128235
382,blocksworld,1,2,1_27,1,442.0,True,69.54053473472595
383,blocksworld,1,2,1_27,2,454.0,True,67.09830069541931
384,blocksworld,1,2,1_28,1,434.0,True,62.264201641082764
385,blocksworld,1,2,1_28,2,428.0,True,59.88804292678833
386,blocksworld,1,2,1_29,1,458.0,True,68.9183578491211
387,blocksworld,1,2,1_29,2,458.0,True,70.13082981109619
388,blocksworld,1,2,1_30,1,522.0,True,100.07336473464966
389,blocksworld,1,2,1_30,2,520.0,True,100.48166513442993
390,blocksworld,1,2,2_01,1,512.0,True,96.25864386558533
391,blocksworld,1,2,2_01,2,526.0,True,102.11961364746094
392,blocksworld,1,2,2_02,1,576.0,True,106.80928111076355
393,blocksworld,1,2,2_02,2,560.0,True,112.11347913742065
394,blocksworld,1,2,2_03,1,594.0,True,145.33899807929993
395,blocksworld,1,2,2_03,2,594.0,True,137.14420580863953
396,blocksworld,1,2,2_04,1,656.0,True,201.80320620536804
397,blocksworld,1,2,2_04,2,662.0,True,221.9656960964203
398,blocksworld,1,2,2_05,1,706.0,True,206.8515591621399
399,blocksworld,1,2,2_05,2,704.0,True,209.29459404945374
400,blocksworld,1,2,2_06,1,724.0,True,246.04471731185913
401,blocksworld,1,2,2_06,2,726.0,True,253.67569279670715
402,blocksworld,1,2,2_07,1,788.0,True,299.73772716522217
403,blocksworld,1,2,2_07,2,786.0,True,313.00539779663086
404,blocksworld,1,2,2_08,1,790.0,True,321.99671840667725
405,blocksworld,1,2,2_08,2,790.0,True,342.5040109157562
406,blocksworld,1,2,2_09,1,822.0,True,347.11690521240234
407,blocksworld,1,2,2_09,2,830.0,True,331.57872319221497
408,blocksworld,1,2,2_10,1,888.0,True,409.63053011894226
409,blocksworld,1,2,2_10,2,892.0,True,432.63426327705383
410,blocksworld,1,2,2_11,1,908.0,True,447.8625121116638
411,blocksworld,1,2,2_11,2,912.0,True,485.1497390270233
412,blocksworld,1,2,2_12,1,954.0,True,502.43302965164185
413,blocksworld,1,2,2_12,2,948.0,True,509.20698380470276
414,blocksworld,1,2,2_13,1,952.0,True,496.8776957988739
415,blocksworld,1,2,2_13,2,958.0,True,496.02610182762146
416,blocksworld,1,2,2_14,1,1028.0,True,588.4407904148102
417,blocksworld,1,2,2_14,2,1034.0,True,576.674275636673
418,blocksworld,1,2,2_15,1,1078.0,True,672.5868117809296
419,blocksworld,1,2,2_15,2,1072.0,True,608.539071559906
420,blocksworld,1,2,2_16,1,1112.0,True,878.7006363868713
421,blocksworld,1,2,2_16,2,1126.0,True,816.7907516956329
422,blocksworld,1,2,2_17,1,1116.0,True,776.0188119411469
423,blocksworld,1,2,2_17,2,1116.0,True,719.6618671417236
424,blocksworld,1,2,2_18,1,1198.0,True,1157.3291680812836
425,blocksworld,1,2,2_18,2,1200.0,True,1247.4592196941376
426,blocksworld,1,2,2_19,1,1196.0,True,979.6331338882446
