,domain,layer,dim,choice,problem,repeat,cycles,plan_length,plan_found,time
344,blocksworld,2,32,best,1_25,2,0.0,406.0,True,128.14463138580322
345,blocksworld,2,32,best,1_26,0,0.0,422.0,True,158.53798270225525
346,blocksworld,2,32,best,1_26,1,0.0,444.0,True,158.8826470375061
347,blocksworld,2,32,best,1_26,2,0.0,436.0,True,171.49407744407654
348,blocksworld,2,32,best,1_27,0,0.0,430.0,True,170.0399944782257
349,blocksworld,2,32,best,1_27,1,0.0,432.0,True,198.64341068267822
350,blocksworld,2,32,best,1_27,2,0.0,442.0,True,153.69196319580078
351,blocksworld,2,32,best,1_28,0,0.0,412.0,True,130.18782234191895
352,blocksworld,2,32,best,1_28,1,0.0,434.0,True,147.03833985328674
353,blocksworld,2,32,best,1_28,2,0.0,434.0,True,136.3640604019165
354,blocksworld,2,32,best,1_29,0,0.0,446.0,True,170.1333770751953
355,blocksworld,2,32,best,1_29,1,0.0,462.0,True,185.60900902748108
356,blocksworld,2,32,best,1_29,2,0.0,472.0,True,172.5717272758484
357,blocksworld,2,32,best,1_30,0,0.0,518.0,True,234.8811333179474
358,blocksworld,2,32,best,1_30,1,0.0,506.0,True,296.9137887954712
359,blocksworld,2,32,best,1_30,2,0.0,512.0,True,227.81123685836792
360,blocksworld,2,8,best,0_01,0,0.0,10.0,True,0.4014401435852051
