domain,problem,repeat,time,plan_length,plan_found
blocksworld,0_19,9,4.3021240234375,62.0,True
blocksworld,0_20,0,4.970539808273315,56.0,True
blocksworld,0_20,1,4.786510944366455,56.0,True
blocksworld,0_20,2,5.009167909622192,56.0,True
blocksworld,0_20,3,4.233551502227783,56.0,True
blocksworld,0_20,4,5.570901870727539,56.0,True
blocksworld,0_20,5,5.195434093475342,56.0,True
blocksworld,0_20,6,5.253368139266968,56.0,True
blocksworld,0_20,7,5.006323575973511,56.0,True
blocksworld,0_20,8,4.2185046672821045,56.0,True
blocksworld,0_20,9,4.8534016609191895,56.0,True
blocksworld,0_21,0,5.524831771850586,64.0,True
blocksworld,0_21,1,5.42899751663208,66.0,True
blocksworld,0_21,2,5.678717851638794,62.0,True
blocksworld,0_21,3,5.0887556076049805,62.0,True
blocksworld,0_21,4,5.004804849624634,58.0,True
blocksworld,0_21,5,5.326484203338623,62.0,True
blocksworld,0_21,6,5.198626518249512,58.0,True
blocksworld,0_21,7,5.348651885986328,60.0,True
blocksworld,0_21,8,5.204759120941162,58.0,True
blocksworld,0_21,9,5.275680303573608,62.0,True
blocksworld,0_22,0,6.706751108169556,78.0,True
blocksworld,0_22,1,6.825350999832153,78.0,True
blocksworld,0_22,2,7.08276104927063,78.0,True
blocksworld,0_22,3,7.282267332077026,78.0,True
blocksworld,0_22,4,7.045844554901123,76.0,True
blocksworld,0_22,5,6.970007658004761,78.0,True
blocksworld,0_22,6,6.482473850250244,76.0,True
blocksworld,0_22,7,6.839392185211182,76.0,True
blocksworld,0_22,8,6.762378215789795,76.0,True
blocksworld,0_22,9,6.590878009796143,78.0,True
blocksworld,0_23,0,5.969663858413696,66.0,True
blocksworld,0_23,1,6.004472494125366,66.0,True
blocksworld,0_23,2,5.799534559249878,66.0,True
blocksworld,0_23,3,5.707365274429321,66.0,True
blocksworld,0_23,4,5.156071901321411,66.0,True
blocksworld,0_23,5,5.711971759796143,66.0,True
blocksworld,0_23,6,5.373565196990967,66.0,True
blocksworld,0_23,7,5.876880407333374,64.0,True
blocksworld,0_23,8,6.1602373123168945,66.0,True
blocksworld,0_23,9,5.707844495773315,66.0,True
blocksworld,0_24,0,7.341341972351074,84.0,True
blocksworld,0_24,1,6.889232873916626,84.0,True
blocksworld,0_24,2,7.846794843673706,84.0,True
blocksworld,0_24,3,7.718356370925903,84.0,True
blocksworld,0_24,4,7.984002113342285,84.0,True
blocksworld,0_24,5,8.118898630142212,84.0,True
blocksworld,0_24,6,7.037723779678345,84.0,True
blocksworld,0_24,7,7.366426229476929,82.0,True
blocksworld,0_24,8,6.752589225769043,84.0,True
blocksworld,0_24,9,7.3161680698394775,84.0,True
blocksworld,0_25,0,7.571380138397217,90.0,True
blocksworld,0_25,1,7.757314682006836,90.0,True
blocksworld,0_25,2,8.913500308990479,90.0,True
blocksworld,0_25,3,8.844117879867554,90.0,True
blocksworld,0_25,4,8.970669746398926,86.0,True
blocksworld,0_25,5,8.081664323806763,90.0,True
blocksworld,0_25,6,7.3986406326293945,86.0,True
blocksworld,0_25,7,7.426424980163574,88.0,True
blocksworld,0_25,8,8.005038499832153,86.0,True
blocksworld,0_25,9,7.606405258178711,90.0,True
blocksworld,0_26,0,7.819279432296753,84.0,True
blocksworld,0_26,1,6.791723012924194,84.0,True
blocksworld,0_26,2,7.771691799163818,82.0,True
blocksworld,0_26,3,7.632480144500732,84.0,True
blocksworld,0_26,4,7.157471179962158,78.0,True
blocksworld,0_26,5,7.682705640792847,82.0,True
blocksworld,0_26,6,6.4276368618011475,78.0,True
blocksworld,0_26,7,7.49030065536499,80.0,True
blocksworld,0_26,8,7.855120658874512,80.0,True
blocksworld,0_26,9,7.391059160232544,84.0,True
blocksworld,0_27,0,6.645003795623779,80.0,True
blocksworld,0_27,1,6.722492218017578,80.0,True
blocksworld,0_27,2,6.854506731033325,80.0,True
blocksworld,0_27,3,7.352878093719482,80.0,True
blocksworld,0_27,4,6.3894641399383545,72.0,True
blocksworld,0_27,5,7.05092978477478,80.0,True
blocksworld,0_27,6,6.849450349807739,70.0,True
blocksworld,0_27,7,6.578359842300415,74.0,True
blocksworld,0_27,8,6.700867176055908,72.0,True
blocksworld,0_27,9,7.1100914478302,80.0,True
blocksworld,0_28,0,8.818233966827393,90.0,True
blocksworld,0_28,1,7.700785160064697,90.0,True
blocksworld,0_28,2,7.8389317989349365,90.0,True
blocksworld,0_28,3,8.270043849945068,90.0,True
blocksworld,0_28,4,8.360528945922852,86.0,True
blocksworld,0_28,5,8.789404392242432,90.0,True
blocksworld,0_28,6,7.951002836227417,86.0,True
blocksworld,0_28,7,8.015505313873291,90.0,True
blocksworld,0_28,8,8.032530784606934,86.0,True
blocksworld,0_28,9,8.46885871887207,90.0,True
blocksworld,0_29,0,8.407999038696289,90.0,True
blocksworld,0_29,1,7.5261664390563965,90.0,True
blocksworld,0_29,2,7.604705333709717,90.0,True
blocksworld,0_29,3,8.570628881454468,90.0,True
blocksworld,0_29,4,7.18856954574585,78.0,True
blocksworld,0_29,5,8.040243148803711,86.0,True
blocksworld,0_29,6,7.402616739273071,76.0,True
blocksworld,0_29,7,7.934677839279175,80.0,True
blocksworld,0_29,8,6.593485116958618,82.0,True
blocksworld,0_29,9,7.550744533538818,78.0,True
blocksworld,0_30,0,,,False
blocksworld,0_30,1,,,False
blocksworld,0_30,2,,,False
blocksworld,0_30,3,,,False
blocksworld,0_30,4,7.802425146102905,90.0,True
blocksworld,0_30,5,,,False
blocksworld,0_30,6,7.175437927246094,92.0,True
blocksworld,0_30,7,,,False
blocksworld,0_30,8,10.18111252784729,96.0,True
blocksworld,0_30,9,,,False
blocksworld,1_01,0,,,False
blocksworld,1_01,1,,,False
blocksworld,1_01,2,,,False
blocksworld,1_01,3,,,False
blocksworld,1_01,4,,,False
blocksworld,1_01,5,,,False
blocksworld,1_01,6,,,False
blocksworld,1_01,7,,,False
blocksworld,1_01,8,,,False
blocksworld,1_01,9,,,False
blocksworld,1_02,0,,,False
blocksworld,1_02,1,,,False
blocksworld,1_02,2,,,False
blocksworld,1_02,3,,,False
blocksworld,1_02,4,,,False
blocksworld,1_02,5,,,False
blocksworld,1_02,6,,,False
blocksworld,1_02,7,,,False
blocksworld,1_02,8,,,False
blocksworld,1_02,9,,,False
blocksworld,1_03,0,,,False
blocksworld,1_03,1,,,False
blocksworld,1_03,2,,,False
blocksworld,1_03,3,,,False
blocksworld,1_03,4,,,False
blocksworld,1_03,5,,,False
blocksworld,1_03,6,,,False
blocksworld,1_03,7,,,False
blocksworld,1_03,8,,,False
blocksworld,1_03,9,,,False
blocksworld,1_04,0,,,False
blocksworld,1_04,1,,,False
blocksworld,1_04,2,,,False
blocksworld,1_04,3,,,False
blocksworld,1_04,4,,,False
blocksworld,1_04,5,,,False
blocksworld,1_04,6,,,False
blocksworld,1_04,7,,,False
blocksworld,1_04,8,,,False
blocksworld,1_04,9,,,False
blocksworld,1_05,0,,,False
blocksworld,1_05,1,,,False
blocksworld,1_05,2,,,False
blocksworld,1_05,3,,,False
blocksworld,1_05,4,,,False
blocksworld,1_05,5,,,False
blocksworld,1_05,6,,,False
blocksworld,1_05,7,,,False
blocksworld,1_05,8,,,False
blocksworld,1_05,9,,,False
blocksworld,1_06,0,,,False
blocksworld,1_06,1,,,False
blocksworld,1_06,2,,,False
blocksworld,1_06,3,,,False
blocksworld,1_06,4,,,False
blocksworld,1_06,5,,,False
blocksworld,1_06,6,,,False
blocksworld,1_06,7,,,False
blocksworld,1_06,8,,,False
blocksworld,1_06,9,,,False
blocksworld,1_07,0,,,False
blocksworld,1_07,1,,,False
blocksworld,1_07,2,,,False
blocksworld,1_07,3,,,False
blocksworld,1_07,4,,,False
blocksworld,1_07,5,,,False
blocksworld,1_07,6,,,False
blocksworld,1_07,7,,,False
blocksworld,1_07,8,,,False
blocksworld,1_07,9,,,False
blocksworld,1_08,0,,,False
blocksworld,1_08,1,,,False
blocksworld,1_08,2,,,False
blocksworld,1_08,3,,,False
blocksworld,1_08,4,,,False
blocksworld,1_08,5,,,False
blocksworld,1_08,6,,,False
blocksworld,1_08,7,,,False
blocksworld,1_08,8,,,False
blocksworld,1_08,9,,,False
blocksworld,1_09,0,,,False
blocksworld,1_09,1,,,False
blocksworld,1_09,2,,,False
blocksworld,1_09,3,,,False
blocksworld,1_09,4,,,False
blocksworld,1_09,5,,,False
blocksworld,1_09,6,,,False
blocksworld,1_09,7,,,False
blocksworld,1_09,8,,,False
blocksworld,1_09,9,,,False
blocksworld,1_10,0,,,False
blocksworld,1_10,1,,,False
blocksworld,1_10,2,,,False
blocksworld,1_10,3,,,False
blocksworld,1_10,4,,,False
blocksworld,1_10,5,,,False
blocksworld,1_10,6,,,False
blocksworld,1_10,7,,,False
blocksworld,1_10,8,,,False
blocksworld,1_10,9,,,False
blocksworld,1_11,0,,,False
blocksworld,1_11,1,,,False
blocksworld,1_11,2,,,False
blocksworld,1_11,3,,,False
blocksworld,1_11,4,,,False
blocksworld,1_11,5,,,False
blocksworld,1_11,6,,,False
blocksworld,1_11,7,,,False
blocksworld,1_11,8,,,False
blocksworld,1_11,9,,,False
blocksworld,1_12,0,,,False
blocksworld,1_12,1,,,False
blocksworld,1_12,2,,,False
blocksworld,1_12,3,,,False
blocksworld,1_12,4,,,False
blocksworld,1_12,5,,,False
blocksworld,1_12,6,,,False
blocksworld,1_12,7,,,False
blocksworld,1_12,8,,,False
blocksworld,1_12,9,,,False
blocksworld,1_13,0,,,False
blocksworld,1_13,1,,,False
blocksworld,1_13,2,,,False
blocksworld,1_13,3,,,False
blocksworld,1_13,4,,,False
blocksworld,1_13,5,,,False
blocksworld,1_13,6,,,False
blocksworld,1_13,7,,,False
blocksworld,1_13,8,,,False
blocksworld,1_13,9,,,False
blocksworld,1_14,0,,,False
blocksworld,1_14,1,,,False
blocksworld,1_14,2,,,False
blocksworld,1_14,3,,,False
blocksworld,1_14,4,,,False
blocksworld,1_14,5,,,False
blocksworld,1_14,6,,,False
blocksworld,1_14,7,,,False
blocksworld,1_14,8,,,False
blocksworld,1_14,9,,,False
blocksworld,1_15,0,,,False
blocksworld,1_15,1,,,False
blocksworld,1_15,2,,,False
blocksworld,1_15,3,,,False
blocksworld,1_15,4,,,False
blocksworld,1_15,5,,,False
blocksworld,1_15,6,,,False
blocksworld,1_15,7,,,False
blocksworld,1_15,8,,,False
blocksworld,1_15,9,,,False
blocksworld,1_16,0,,,False
blocksworld,1_16,1,,,False
blocksworld,1_16,2,,,False
blocksworld,1_16,3,,,False
blocksworld,1_16,4,,,False
blocksworld,1_16,5,,,False
blocksworld,1_16,6,,,False
blocksworld,1_16,7,,,False
blocksworld,1_16,8,,,False
blocksworld,1_16,9,,,False
blocksworld,1_17,0,,,False
blocksworld,1_17,1,,,False
blocksworld,1_17,2,,,False
blocksworld,1_17,3,,,False
blocksworld,1_17,4,,,False
blocksworld,1_17,5,,,False
blocksworld,1_17,6,,,False
blocksworld,1_17,7,,,False
blocksworld,1_17,8,,,False
blocksworld,1_17,9,,,False
blocksworld,1_18,0,,,False
blocksworld,1_18,1,,,False
blocksworld,1_18,2,,,False
blocksworld,1_18,3,,,False
blocksworld,1_18,4,,,False
blocksworld,1_18,5,,,False
blocksworld,1_18,6,,,False
blocksworld,1_18,7,,,False
blocksworld,1_18,8,,,False
blocksworld,1_18,9,,,False
blocksworld,1_19,0,,,False
blocksworld,1_19,1,,,False
blocksworld,1_19,2,,,False
blocksworld,1_19,3,,,False
blocksworld,1_19,4,,,False
blocksworld,1_19,5,,,False
blocksworld,1_19,6,,,False
blocksworld,1_19,7,,,False
blocksworld,1_19,8,,,False
blocksworld,1_19,9,,,False
blocksworld,1_20,0,,,False
blocksworld,1_20,1,,,False
blocksworld,1_20,2,,,False
blocksworld,1_20,3,,,False
blocksworld,1_20,4,,,False
blocksworld,1_20,5,,,False
blocksworld,1_20,6,,,False
blocksworld,1_20,7,,,False
blocksworld,1_20,8,,,False
blocksworld,1_20,9,,,False
blocksworld,1_21,0,,,False
blocksworld,1_21,1,,,False
blocksworld,1_21,2,,,False
blocksworld,1_21,3,,,False
blocksworld,1_21,4,,,False
blocksworld,1_21,5,,,False
blocksworld,1_21,6,,,False
blocksworld,1_21,7,,,False
blocksworld,1_21,8,,,False
blocksworld,1_21,9,,,False
blocksworld,1_22,0,,,False
blocksworld,1_22,1,,,False
blocksworld,1_22,2,,,False
blocksworld,1_22,3,,,False
blocksworld,1_22,4,,,False
blocksworld,1_22,5,,,False
blocksworld,1_22,6,,,False
blocksworld,1_22,7,,,False
blocksworld,1_22,8,,,False
blocksworld,1_22,9,,,False
blocksworld,1_23,0,,,False
blocksworld,1_23,1,,,False
blocksworld,1_23,2,,,False
blocksworld,1_23,3,,,False
blocksworld,1_23,4,,,False
blocksworld,1_23,5,,,False
blocksworld,1_23,6,,,False
blocksworld,1_23,7,,,False
blocksworld,1_23,8,,,False
blocksworld,1_23,9,,,False
blocksworld,1_24,0,,,False
blocksworld,1_24,1,,,False
blocksworld,1_24,2,,,False
blocksworld,1_24,3,,,False
blocksworld,1_24,4,,,False
blocksworld,1_24,5,,,False
blocksworld,1_24,6,,,False
blocksworld,1_24,7,,,False
blocksworld,1_24,8,,,False
blocksworld,1_24,9,,,False
